name,No,Industrial,Other,GW,River,Pop*10^3(2015)
Hokkaido,1,169133,57450,180185,1790229,5381.733
Aomori,2,293485,8588,48357,4770,1308.265
Iwate,3,22551,18711,69602,64900,1279.594
Miyagi,4,50161,35528,34122,567509,2333.899
Akita,5,140198,14814,15455,75467,1023.119
Yamagata,6,38372,22512,80259,656,1123.891
Hukushima,7,309202,41345,81699,88515,1914.039
Ibaraki,8,638689,61539,173490,34184,2916.976
Tochigi,9,41400,32546,298024,80390,1974.255
Gunma,10,151381,54912,190106,46443,1973.115
Saitama,11,122804,104526,153764,22007,7266.534
Chiba,12,830995,92705,94657,134420,6222.666
Tokyo,13,19437,38497,45858,23578,13515.271
Kanagawa,14,505485,83788,179887,59394,9126.214
Niigata,15,236032,51799,280620,261980,2304.264
Toyama,16,272251,24033,312112,150957,1066.328
Ishikawa,17,53758,19022,168514,3899,1154.008
Fukui,18,69689,11302,196548,15415,786.74
Yamanashi,19,0,16919,78400,3744,834.93
Nagano,20,0,51057,186633,7770,2098.804
Gihu,21,42074,49510,425941,111207,2031.903
Shizuoka,22,543472,65287,1049109,223714,3700.305
Aichi,23,936719,117896,253636,261838,7483.128
Mie,24,463761,47328,109027,112389,1815.865
Shiga,25,66822,34741,192003,111258,1412.916
Kyoto,26,14547,32901,84544,39347,2610.353
Osaka,27,319128,75334,61807,49136,8839.469
Hyogo,28,664121,102237,162690,62940,5534.8
Nara,29,0,15261,23756,1397,1364.316
Wakayama,30,439485,53184,42363,2605,963.579
Tottori,31,17731,5698,38727,89247,573.441
Shimane,32,27155,8304,50439,193683,694.352
Okayama,33,472736,54099,87004,119422,1921.525
Hiroshima,34,602754,53306,40604,187683,2843.99
Yamaguchi,35,1001890,64360,23082,464929,1404.729
Tokushima,36,139416,7793,65475,202296,755.733
Kagawa,37,32677,26344,30487,4110,976.263
Ehime,38,739425,14116,140022,58560,1385.262
Kochi,39,10800,4657,116313,13196,728.276
Fukuoka,40,221636,47985,78741,194604,5101.556
Saga,41,62134,15363,31643,42487,832.832
Nagasaki,42,17159,12216,18187,1377,1377.187
Kumamoto,43,25902,10517,128569,268958,1786.17
Ohita,44,513747,13427,31589,98077,1166.338
Miyazaki,45,47937,29661,95210,402212,1104.069
Kagoshima,46,7047,15954,79756,83673,1648.177
Okinawa,47,8510,12302,19428,32956,1433.566
